Ensemble Type,Accuracy,Precision,Recall,F1 Score,AUC
Simple Average,0.6505,0.5585215605749486,0.18694158075601375,0.2801235839340886,0.640058601529851
Weighted Average,0.6475,0.5483870967741935,0.17525773195876287,0.265625,0.6397350778765721
Majority Voting,0.6505,0.5696821515892421,0.16013745704467353,0.25,0.640058601529851
